stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
716,50709.0,Westbound E 41 Ave @ St. Catherines St,,49.232938,-123.087318,BUS ZN,,0,,1,8728de8d5ffffff,8828de8f37fffff,8928de8f36fffff,8a28de8f36d7fff
7161,57093.0,Eastbound Fraser Hwy @ 194 St,,49.115794,-122.684314,BUS ZN,,0,,1,8728ded73ffffff,8828ded73dfffff,8928ded73dbffff,8a28ded73daffff
7162,57094.0,Eastbound Fraser Hwy @ 195A St,,49.11441,-122.681364,BUS ZN,,0,,1,8728ded72ffffff,8828ded72bfffff,8928ded72a7ffff,8a28ded72a5ffff
7166,57097.0,Langley Centre @ Bay 4,,49.106346,-122.654492,BUS ZN,,0,,1,8728ded0dffffff,8828ded0dbfffff,8928ded0da7ffff,8a28ded0da47fff
7167,57098.0,Southbound 204 St @ Douglas Cres,,49.103152,-122.65668,BUS ZN,,0,,1,8728ded76ffffff,8828ded767fffff,8928ded767bffff,8a28ded7679ffff
7168,57099.0,Southbound 204 St @ 54 Ave,,49.099987,-122.656815,BUS ZN,,0,,1,8728ded76ffffff,8828ded765fffff,8928ded7647ffff,8a28ded7645ffff
7169,57100.0,Westbound 53 Ave @ 203 St,,49.098522,-122.660855,BUS ZN,,0,,1,8728ded76ffffff,8828ded761fffff,8928ded760bffff,8a28ded7609ffff
717,50710.0,Westbound E 41 Ave @ Chester St,,49.232994,-123.089838,BUS ZN,,0,,1,8728de8d5ffffff,8828de8f37fffff,8928de8f36fffff,8a28de8f36cffff
7170,57101.0,Westbound 53 Ave @ 201A St,,49.098527,-122.66383,BUS ZN,,0,,1,8728ded76ffffff,8828ded761fffff,8928ded760fffff,8a28ded760d7fff
7171,57102.0,Southbound 200 St @ 53 Ave,,49.098029,-122.668864,BUS ZN,,0,,1,8728ded76ffffff,8828ded761fffff,8928ded763bffff,8a28ded7605ffff
7172,57103.0,Southbound 200 St @ 50 Ave,,49.09309,-122.668736,BUS ZN,,0,,1,8728ded76ffffff,8828ded761fffff,8928ded7617ffff,8a28ded76167fff
7173,57104.0,Southbound 200 St @ 48 Ave,,49.089154,-122.668672,BUS ZN,,0,,1,8728ded76ffffff,8828ded769fffff,8928ded7683ffff,8a28ded7680ffff
7174,57105.0,Southbound 200 St @ 45A Ave,,49.084346,-122.669009,BUS ZN,,0,,1,8728ded29ffffff,8828ded293fffff,8928ded7693ffff,8a28ded76927fff
7175,57106.0,Southbound 200 St @ 44 Ave,,49.081864,-122.66918,BUS ZN,,0,,1,8728ded29ffffff,8828ded293fffff,8928ded292bffff,8a28ded292affff
7176,57107.0,Southbound 200 St @ 42 Ave,,49.078019,-122.669486,BUS ZN,,0,,1,8728ded29ffffff,8828ded293fffff,8928ded2933ffff,8a28ded29317fff
7177,57108.0,Southbound 200 St @ 41 Ave,,49.076361,-122.669599,BUS ZN,,0,,1,8728ded29ffffff,8828ded291fffff,8928ded29abffff,8a28ded2906ffff
7178,57109.0,Eastbound 40 Ave @ 200A St,,49.074633,-122.667761,BUS ZN,,0,,2,8728ded29ffffff,8828ded291fffff,8928ded2917ffff,8a28ded2914ffff
7179,57110.0,Eastbound 40 Ave @ 202 St,,49.074627,-122.663582,BUS ZN,,0,,1,8728ded29ffffff,8828ded291fffff,8928ded2903ffff,8a28ded29027fff
718,50711.0,Westbound E 41 Ave @ Fraser St,,49.233019,-123.091171,BUS ZN,,0,,1,8728de8d5ffffff,8828de8f37fffff,8928de8f36fffff,8a28de8f36cffff
7185,57115.0,Westbound 36 Ave @ 202A St,,49.06746,-122.663166,BUS ZN,,0,,1,8728ded29ffffff,8828ded299fffff,8928ded299bffff,8a28ded29987fff
7186,57116.0,Southbound 200 St @ 36 Ave,,49.0671,-122.669636,BUS ZN,,0,,1,8728ded29ffffff,8828ded299fffff,8928ded2997ffff,8a28ded29957fff
7187,57117.0,Southbound 200 St @ 33A Ave,,49.062347,-122.669595,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d3fffff,8928ded2d23ffff,8a28ded2d21ffff
7188,57118.0,Southbound 200 St @ 32 Ave,,49.059803,-122.669643,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d3fffff,8928ded2d33ffff,8a28ded2d31ffff
7189,57119.0,Southbound 200 St @ 30 Ave,,49.057061,-122.669574,BUS ZN,,0,,1,8728ded2dffffff,8828ded2dbfffff,8928ded2dabffff,8a28ded2da9ffff
